index,Ru1,Ru2,Ru3,v1,v2,v3,v4,v5,boundrary area (m2),length (m),width (m),travel length (m),mobile robot travel time (min),number of assembly sequences,robot viability rating [roof panels] (0 to 1),number of roof panels,robot viability rating [wall panels] (0 to 1),number of wall panels,total number of panels,total weight (kg),embodied carbon (kgCO2e),max deflection (cm),required quantity of CLT master panels for fabrication,number of assembly sequences requiring extra support
890,3,14,5,1,52,49,1,0,98,14,7,2216,83,35,0.49,35,0.59,47,82,8163.258013,3567,0.27292,3.09,8
891,0,20,10,1,33,45,1,0,68,17,4,2130,79,29,0.4,29,0.55,49,78,8522.625717,3724,0.302796,3.2,6
892,1,19,9,1,39,30,2,0,98,7,14,2130,79,35,0.51,35,0.51,51,86,8817.735124,3853,0.288424,3.29,9
893,0,15,2,2,36,53,2,1,121,11,11,1986,74,34,0.44,34,0.55,51,85,8766.16349,3831,0.300006,3.26,9
894,2,0,7,2,36,58,1,1,105,7,15,2238,83,37,0.53,37,0.6,49,86,8542.936487,3733,0.253685,3.27,11
895,7,17,8,0,31,35,2,0,98,14,7,2042,76,31,0.42,31,0.54,49,80,8874.721192,3878,0.318035,3.33,6
896,2,5,13,3,61,46,2,2,110,10,11,2046,76,33,0.52,33,0.45,53,86,8490.465271,3710,0.262916,3.04,12
897,3,12,6,2,32,54,1,2,121,11,11,2018,75,34,0.45,34,0.61,48,82,8552.178274,3737,0.295843,3.23,9
898,2,18,11,2,50,50,1,0,105,7,15,2487,93,37,0.52,37,0.58,49,86,8167.146834,3569,0.265095,3.09,5
899,1,8,8,3,47,57,0,2,110,10,11,2282,85,33,0.49,33,0.5,51,84,8361.840282,3654,0.263569,2.95,7
900,7,19,5,2,38,43,1,1,112,14,8,1959,73,32,0.43,32,0.53,51,83,8706.919331,3805,0.290975,3.24,7
901,2,6,7,3,43,50,2,1,112,14,8,2637,98,31,0.44,31,0.53,52,83,8625.861274,3770,0.264775,3.07,5
902,6,1,3,3,61,60,0,2,120,10,12,2124,79,35,0.5,35,0.56,50,85,8079.619426,3531,0.260579,2.93,7
903,6,6,2,1,54,37,2,1,98,7,14,2099,78,35,0.49,35,0.52,51,86,8617.68227,3766,0.256192,3.24,9
904,6,16,6,1,50,61,0,0,104,13,8,2235,83,32,0.47,32,0.54,49,81,7942.272102,3471,0.255954,2.98,6
905,6,4,11,1,55,63,1,1,98,7,14,1952,73,35,0.51,35,0.6,49,84,8047.583768,3517,0.24345,3.06,8
906,0,8,14,1,59,45,1,0,90,15,6,2064,77,34,0.44,34,0.51,52,86,8481.323181,3706,0.320842,3.11,6
907,7,20,5,3,50,56,0,2,98,14,7,1910,71,31,0.42,31,0.57,50,81,8152.877074,3563,0.25866,2.97,7
908,5,20,13,2,32,54,1,1,112,14,8,1995,74,31,0.41,31,0.57,51,82,8694.032536,3799,0.24973,3.29,8
909,5,1,2,2,46,40,2,1,110,10,11,2009,75,34,0.46,34,0.58,49,83,8424.315295,3681,0.264139,3.25,8
910,5,17,11,1,35,41,0,1,110,10,11,2028,76,34,0.48,34,0.54,50,84,8660.333749,3785,0.259675,3.25,10
911,4,7,14,1,55,31,1,0,98,14,7,2169,81,30,0.43,30,0.51,50,80,8572.318675,3746,0.267397,3.22,8
912,0,14,10,2,34,41,1,1,112,14,8,2052,77,31,0.43,31,0.51,51,82,8827.805314,3858,0.290235,3.39,8
913,2,20,11,1,42,58,0,2,121,11,11,2366,88,33,0.45,33,0.48,52,85,8476.578535,3704,0.246259,3.14,7
914,2,13,7,1,46,67,0,1,110,10,11,2360,88,34,0.47,34,0.54,50,84,8074.581382,3529,0.249931,3.08,5
915,2,13,13,2,45,67,2,0,104,13,8,1956,73,32,0.49,32,0.56,50,82,8170.93313,3571,0.268864,3.06,13
916,7,10,16,1,34,63,1,1,105,15,7,2186,81,34,0.45,34,0.57,50,84,8219.719997,3592,0.238452,3.05,10
917,0,4,11,2,45,62,1,2,98,14,7,1755,65,30,0.4,30,0.58,49,79,8137.518855,3556,0.269038,3.08,7
918,2,9,14,3,53,59,0,2,110,10,11,2225,83,33,0.47,33,0.5,51,84,8250.671525,3606,0.255612,2.96,11
919,3,20,14,3,60,61,0,2,88,11,8,1755,65,34,0.46,34,0.53,51,85,8179.165761,3574,0.268976,2.96,8
920,1,14,9,3,50,32,0,2,110,10,11,1956,73,34,0.46,34,0.51,51,85,8540.996548,3732,0.297812,3.15,11
921,6,15,4,1,67,31,0,1,110,10,11,2001,75,34,0.49,34,0.61,48,82,8252.993333,3607,0.25545,3.23,6
922,5,2,13,1,43,60,0,1,120,10,12,1982,74,35,0.49,35,0.58,49,84,8337.48564,3643,0.237065,3.27,9
923,3,8,14,3,33,31,0,2,98,14,7,2147,80,30,0.41,30,0.54,50,80,8880.315116,3881,0.315292,3.37,11
924,6,18,10,3,58,35,0,1,108,9,12,2096,78,35,0.45,35,0.49,53,88,8505.726764,3717,0.249614,3.1,6
925,3,17,14,3,69,43,2,1,112,14,8,2514,94,32,0.44,32,0.52,53,85,8483.636841,3707,0.332224,3.04,9
926,7,21,9,3,59,61,1,2,105,15,7,2223,83,34,0.47,34,0.51,53,87,8228.326098,3596,0.245331,3.02,9
927,1,14,11,1,42,44,1,0,104,13,8,1953,73,32,0.43,32,0.48,52,84,8623.067859,3768,0.281207,3.18,12
928,1,16,9,3,38,60,0,0,110,10,11,2250,84,34,0.44,34,0.55,50,84,8309.47153,3631,0.282446,2.94,10
929,5,7,1,1,58,47,1,1,110,10,11,1934,72,33,0.52,33,0.56,50,83,8367.581306,3657,0.250998,3.15,11
930,6,16,12,0,49,59,0,1,104,13,8,1907,71,32,0.44,32,0.6,48,80,8213.535051,3589,0.245102,2.95,9
931,7,22,12,0,52,65,1,0,110,11,10,1884,70,32,0.45,32,0.58,50,82,7938.300352,3469,0.260843,2.95,8
932,2,12,15,3,60,50,1,1,120,10,12,2334,87,35,0.5,35,0.62,49,84,8208.248247,3587,0.243853,2.99,12
933,4,5,14,3,44,44,0,1,77,11,7,1851,69,32,0.45,32,0.54,49,81,8519.766005,3723,0.280034,3.13,8
934,2,7,11,2,53,59,1,0,80,8,10,1691,63,35,0.49,35,0.57,46,81,7739.599135,3382,0.270439,2.95,7
935,7,16,5,2,33,37,1,1,121,11,11,2483,93,34,0.42,34,0.52,51,85,8749.709525,3824,0.246218,3.26,10
936,1,12,13,2,45,33,2,1,80,10,8,1797,67,34,0.48,34,0.54,50,84,8649.412882,3780,0.291019,3.23,11
937,1,10,12,1,47,40,0,0,121,11,11,2124,79,33,0.43,33,0.47,52,85,8697.507032,3801,0.282606,3.23,7
938,0,21,10,1,41,62,1,1,105,15,7,2436,91,34,0.53,34,0.55,50,84,8221.396165,3593,0.250651,3.06,8
939,4,12,11,1,50,38,0,1,88,11,8,1746,65,34,0.47,34,0.54,50,84,8393.232478,3668,0.288573,3.17,9
940,3,3,13,0,70,52,0,1,105,15,7,2088,78,34,0.47,34,0.61,49,83,8160.45044,3566,0.233279,2.95,6
941,6,13,15,2,33,31,1,1,104,13,8,1979,74,32,0.46,32,0.54,50,82,8890.809097,3885,0.287608,3.38,6
942,1,9,16,2,66,49,0,2,88,8,11,1691,63,32,0.47,32,0.52,49,81,8164.218295,3568,0.256183,3.08,7
943,6,12,15,3,54,67,2,2,104,13,8,1814,68,32,0.5,32,0.54,52,84,8017.146263,3503,0.241973,2.92,9
944,1,21,15,1,37,59,1,0,112,14,8,2016,75,31,0.44,31,0.54,52,83,8364.570084,3655,0.256938,3.24,7
945,7,12,1,1,44,55,1,1,121,11,11,2172,81,34,0.45,34,0.58,51,85,8476.582703,3704,0.264382,3.25,9
946,5,12,5,1,46,48,2,1,120,10,12,2084,78,35,0.5,35,0.51,51,86,8720.360289,3811,0.253741,3.27,8
947,2,9,16,0,31,62,1,0,110,10,11,2112,79,33,0.46,33,0.54,50,83,8335.016892,3642,0.260524,3.08,6
948,1,10,14,0,49,69,1,1,112,14,8,2061,77,31,0.43,31,0.58,51,82,8361.357558,3654,0.251337,3.04,7
949,3,17,1,1,69,52,1,1,112,14,8,2370,88,32,0.46,32,0.62,50,82,8093.490278,3537,0.244815,3.04,9
950,2,4,10,1,60,52,1,1,88,8,11,1998,74,33,0.49,33,0.61,48,81,8111.083084,3545,0.242905,3.09,10
951,6,8,3,2,59,35,1,2,110,10,11,1997,74,33,0.48,33,0.56,49,82,8411.448952,3676,0.288215,3.2,6
952,3,0,3,3,54,53,1,0,112,14,8,2127,79,31,0.42,31,0.5,52,83,8351.210288,3649,0.252527,3.06,6
953,5,10,8,3,43,33,1,2,110,11,10,2108,79,33,0.44,33,0.49,51,84,8966.113731,3918,0.282252,3.55,7
954,7,14,8,2,62,35,1,1,88,11,8,1901,71,34,0.44,34,0.54,50,84,8507.827704,3718,0.275493,3.25,9
955,3,5,2,1,61,35,1,2,98,14,7,1982,74,30,0.43,30,0.56,50,80,8612.716381,3764,0.350506,3.21,6
956,3,2,13,2,48,58,1,1,104,13,8,2079,78,32,0.45,32,0.58,51,83,8275.680176,3616,0.248832,3.13,6
957,5,13,0,1,40,65,0,2,104,13,8,1769,66,32,0.48,32,0.57,48,80,8186.431897,3577,0.245049,3.12,12
958,7,16,15,2,34,47,0,2,88,11,8,1989,74,33,0.45,33,0.53,51,84,8652.497588,3781,0.246158,3.21,7
959,2,5,1,2,63,57,1,2,110,10,11,2066,77,33,0.49,33,0.54,51,84,8213.917713,3589,0.265469,3.06,11
960,4,16,8,2,39,35,1,0,112,14,8,2478,92,32,0.45,32,0.48,52,84,8898.518103,3889,0.280506,3.36,8
961,3,11,13,2,45,68,2,1,105,15,7,2213,83,34,0.45,34,0.56,51,85,8161.931104,3567,0.253705,3.06,9
962,0,1,5,1,55,59,2,1,112,14,8,2078,77,32,0.44,32,0.56,51,83,8284.186934,3620,0.275976,3.08,6
963,6,9,0,2,30,36,1,2,112,14,8,1848,69,31,0.43,31,0.52,51,82,9035.230016,3948,0.275713,3.48,7
964,7,13,3,2,32,39,1,2,98,14,7,1803,67,31,0.42,31,0.54,49,80,8706.279553,3805,0.355297,3.38,8
965,7,18,11,2,43,33,1,1,112,14,8,2282,85,32,0.43,32,0.51,51,83,8934.638098,3904,0.278336,3.39,9
